Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
-;test kev;03/08/2024 07:34:38;07:40:32;100;6;1,8;140;1433
Central Brioche;T D centre;05/08/2024 09:20:15;09:21:45;100;2;1,4;29;1166
Central Brioche;L centre;05/08/2024 09:21:47;10:06:03;55;44;1,2;710;967
Central Brioche;L centre;05/08/2024 10:06:38;10:27:17;80;21;1,1;304;887
Central Brioche;T D centre;06/08/2024 06:51:16;06:52:51;100;2;1,4;29;1117
Central Brioche;L centre;06/08/2024 06:53:23;07:55:48;80;62;1,2;996;962
Central Brioche;L centre;06/08/2024 07:56:32;08:01:58;85;5;0,9;66;727
Central Brioche;L centre;06/08/2024 08:20:26;08:30:45;98;10;1,1;149;871
Central Brioche;T D centre;06/08/2024 08:52:28;08:53:58;100;2;1,5;29;1180
Central Brioche;L centre;06/08/2024 08:54:32;09:54:20;78;60;1,2;956;963
Central Brioche;T D centre;06/08/2024 10:27:40;10:29:24;100;2;1,3;29;1009
Central Brioche;L centre;06/08/2024 10:29:56;10:57:30;37;28;1,2;450;985
Central Brioche;T D centre;06/08/2024 11:11:57;11:13:18;100;1;1,6;29;1296
Central Brioche;L centre;06/08/2024 11:13:52;11:55:59;55;42;1,2;677;970
Central Brioche;T D centre;07/08/2024 07:01:57;07:03:21;100;1;1,5;29;1265
Central Brioche;L centre;07/08/2024 07:03:54;07:53:54;46;50;0,9;586;706
Central Brioche;T D centre;07/08/2024 08:24:21;08:28:55;100;5;0,5;34;450
Central Brioche;L centre;07/08/2024 08:28:57;09:37:12;73;68;1;919;812
Central Brioche;T D centre;07/08/2024 10:13:37;10:15:01;100;1;1,5;29;1250
Central Brioche;L centre;07/08/2024 10:15:36;11:25:50;89;70;1,2;1096;940
Central Brioche;T D centre;08/08/2024 07:22:56;07:24:34;100;2;1,3;29;1071
Central Brioche;L centre;08/08/2024 07:25:08;08:33:28;82;68;1,1;1028;907
Central Brioche;T D centre;08/08/2024 09:35:18;09:36:27;100;1;1,4;23;1208
Central Brioche;L centre;08/08/2024 09:37:30;10:40:19;80;63;1,2;994;954
Central Brioche;L centre;08/08/2024 10:41:31;10:49:14;88;8;1;101;791
grouper air fra;Parcours 5;08/08/2024 11:05:15;11:46:36;100;41;1,5;807;1176
grouper air fra;T F af;08/08/2024 11:47:17;11:48:43;100;1;2,2;40;1715
Central Brioche;T D centre;09/08/2024 07:20:34;07:21:55;100;1;1,6;29;1296
Central Brioche;L centre;09/08/2024 07:22:26;08:37:17;96;75;1,2;1172;944
grouper air fra;Parcours 5;09/08/2024 09:08:20;09:50:08;100;42;1,4;806;1162
grouper air fra;T F af;09/08/2024 09:50:50;09:52:19;100;1;2,2;40;1638
Central Brioche;T D centre;09/08/2024 10:07:09;10:08:28;100;1;1,6;29;1346
Central Brioche;L centre;09/08/2024 10:09:02;11:20:59;92;72;1,2;1140;954
Central Brioche;T D centre;12/08/2024 07:04:34;07:05:51;100;1;1,7;29;1363
Central Brioche;L centre;12/08/2024 07:06:26;08:19:09;92;73;1,2;1143;947
grouper air fra;Parcours 5;12/08/2024 08:37:44;09:19:10;100;41;1,4;806;1172
grouper air fra;T F af;12/08/2024 09:19:52;09:21:21;100;1;2,2;40;1657
Central Brioche;T D centre;12/08/2024 09:37:17;09:39:29;100;2;1;31;846
Central Brioche;L centre;12/08/2024 09:40:00;10:57:19;95;77;1,2;1205;940
Central Brioche;L centre;12/08/2024 11:08:23;11:12:07;100;4;1;50;814
Central Brioche;L novotel;12/08/2024 11:14:02;11:31:10;100;17;1,7;394;1388
Central Brioche;L brioche;12/08/2024 11:31:41;12:34:35;97;63;0,7;588;563
Central Brioche;T D centre;13/08/2024 07:38:38;07:40:00;100;1;1,6;29;1280
Central Brioche;L centre;13/08/2024 07:40:33;09:02:25;100;82;1,1;1249;919
Central Brioche;T centre novot;13/08/2024 09:02:27;09:04:03;100;2;1,9;41;1565
Central Brioche;L novotel;13/08/2024 09:04:39;09:05:12;7;1;1,4;11;1149
Central Brioche;L novotel;13/08/2024 09:16:44;09:33:26;100;17;1,7;382;1380
Central Brioche;L brioche;13/08/2024 09:33:58;10:39:33;100;66;0,7;616;566
Central Brioche;T F brioche;13/08/2024 10:40:16;10:45:50;100;6;2,1;152;1646
grouper air fra;Parcours 5;13/08/2024 10:52:03;11:33:42;100;42;1,4;808;1170
grouper air fra;T F af;13/08/2024 11:34:22;11:35:45;100;1;2,3;40;1778
Central Brioche;T D centre;13/08/2024 11:46:24;11:47:44;100;1;1,6;29;1346
Central Brioche;L centre;13/08/2024 11:48:19;12:38:02;63;50;1,2;794;962
Central Brioche;T D centre;14/08/2024 07:06:33;07:07:49;100;1;1,7;29;1400
Central Brioche;L centre;14/08/2024 07:08:25;08:28:20;100;80;1,2;1246;939
Central Brioche;L novotel;14/08/2024 08:38:35;08:56:21;100;18;1,7;399;1355
Central Brioche;L brioche;14/08/2024 08:56:53;10:03:05;100;66;0,7;619;563
Central Brioche;T F brioche;14/08/2024 10:03:43;10:04:20;20;1;1;8;788
Central Brioche;T D centre;14/08/2024 10:16:24;10:17:52;100;1;1,5;29;1207
Central Brioche;L centre;14/08/2024 10:17:55;10:29:16;14;11;1,3;195;1038
Central Brioche;L centre;14/08/2024 10:31:03;11:14:46;70;44;1,2;698;963
Central Brioche;L centre;14/08/2024 11:22:01;11:29:57;80;8;1,1;122;929
Central Brioche;L centre;14/08/2024 11:31:19;11:38:31;87;7;1;96;807
grouper air fra;Parcours 5;14/08/2024 11:45:22;12:27:15;100;42;1,4;809;1165
grouper air fra;T F af;14/08/2024 12:27:55;12:29:18;100;1;2,3;40;1778
grouper air fra;Parcours 5;14/08/2024 12:37:07;12:57:51;52;21;1,4;389;1130
grouper air fra;Parcours 5;14/08/2024 13:03:06;13:09:00;62;6;1,4;109;1107
Central Brioche;T D centre;15/08/2024 07:29:44;07:31:42;100;2;1,2;30;922
Central Brioche;L centre;15/08/2024 07:32:16;08:51:07;100;79;1,2;1249;954
Central Brioche;L novotel;15/08/2024 08:53:09;08:58:08;34;5;1,6;107;1296
Central Brioche;L novotel;15/08/2024 09:17:09;09:29:03;100;12;1,8;285;1444
Central Brioche;L brioche;15/08/2024 09:29:35;10:31:48;100;62;0,7;590;571
Central Brioche;T F brioche;15/08/2024 10:32:30;10:38:26;100;6;2;153;1552
grouper air fra;Parcours 5;15/08/2024 11:08:14;11:51:39;100;43;1,4;811;1126
grouper air fra;T F af;15/08/2024 11:52:20;11:53:44;100;1;2,3;40;1757
Central Brioche;T D centre;15/08/2024 12:09:15;12:10:49;100;2;1,4;29;1129
Central Brioche;L centre;15/08/2024 12:11:24;12:54:29;56;43;1,2;697;974
Central Brioche;T D centre;16/08/2024 06:53:08;06:54:31;100;1;1,6;29;1265
Central Brioche;L centre;16/08/2024 06:55:02;08:15:06;100;80;1,2;1247;939
Central Brioche;L novotel;16/08/2024 08:17:05;08:18:33;7;1;1,3;27;1081
Central Brioche;L novotel;16/08/2024 08:28:49;08:44:24;100;16;1,8;368;1422
Central Brioche;L brioche;16/08/2024 08:44:55;09:49:43;100;65;0,7;610;567
Central Brioche;T F brioche;16/08/2024 09:50:24;09:56:22;100;6;1,9;153;1544
